Nodo,Central
Pid-Pid110,Chonchi110
Pillanlelbun066,Lautaro066
PMontt220,Chiloe110
PMontt220,Molinos110
PNegro220,Candela220
Polpaico220,ElSalto110
Polpaico500,Polpaico220
PPeuco110,LVegas110
PPeuco110,LVegas110_I
Prrahue220,Rahue220
Prropulli220,Prrahue220
Prropulli220,Rahue220
Quillota110,Mirafl110
Quillota110,Pachacam110
Quillota220,Polpaico220
Quillota220,Quillota110
Quintero220,SanLuis220
Rahue220,PMontt220
Rancagua154,Tuniche154_I
Rancagua154,Tuniche154_II
Rapel220,AMelipilla220
Rapel220,LoAguirre220
Renca110,CNavia110
RioTolten220,Ciruelos220
Rucue220,Charrua220
SanLuis220,ASanta220
SanLuis220,Quillota220
SantaMaria220,Charrua220
SantaMarta220,Chena220
Sauzal110_2,Sauzal154
Sauzal154,Rancagua154
SCristobal110,CNavia110
SFcoMost066,Paine154
SJavier066,Constituci66
SMiguel66,Talca066
StaRosa110,AJahuel110
SVicente154,Hualpen154
SVicente154,Petroq154
Talca066,SJavier066
Temuco220,Cautin220
Temuco220,Temuco66
Temuco66,Pillanlelbun66
Tilcoco154,Malloa154
Tilcoco154,PCortes154
Tinguiririca154,Itahue154
Tinguiririca154,Teno154
Torquemada110,Mirafl110
Trupan220,Charrua220
Tuniche_1,PCortes154
Tuniche_1,Tinguiririca154
Tuniche_2,PCortes154
Valdivia220,Prropulli220
Ventanas110,Mirafl110
Ventanas110,Quillota110
Ventanas110,Torquemada110
Ventanas220,Ventanas110
